FormOption,LunchItem
O1,Cheese Pizza
O2,Spicy Chicken Sandwich
O3,Bosco Cheese Sticks
O4,Sweet & Sour Chicken w/ Brown Rice
O5,Hot Dog
O6,Grilled Cheese
O7,Chicken and Waffles
O8,The Beyond Burger
O9,Mediterranean Chicken Thigh w/ Pita
O10,Grilled Chicken Fajita Rice Bowl
O11,Beef Cheeseburger with Brioche Bun
O12,Beef Hamburger with Brioche Bun
O13,Chicken Sandwich on Brioche Bun
O14,Chicken Tenders with Roll
O15,Vegan Chick'n Sandwich
O16,Beef Chili Mac
O17,Cheese Calzone
O18,Vanilla Parfait
O19,Chicken Chili Verde w/ Rice
O20,Beef Stroganoff
O21,Coconut Chicken Curry
O22,Cheese Focaccia Pizza
O23,Hot Honey Glazed Chicken
O24,Macaroni and Cheese
O25,Chicken Biscuit
