Date,Item1,Item2
9/2/2024,Coconut Chicken Curry,Cheese Pizza
9/3/2024,Beef Stroganoff,Chicken Tenders with Roll
9/4/2024,Cheese Pizza,Chicken Tenders with Roll
9/5/2024,Mediterranean Chicken Thigh w/ Pita,Chicken Sandwich on Brioche Bun
9/6/2024,Grilled Chicken Fajita Rice Bowl,Bosco Cheese Sticks
9/9/2024,Beef Chili Mac,Cheese Pizza
9/10/2024,Sweet & Sour Chicken w/ Brown Rice,Vegan Chick'n Sandwich
9/11/2024,Cheese Pizza,Chicken Tenders with Roll
9/12/2024,Mediterranean Chicken Thigh w/ Pita,Spicy Chicken Sandwich
9/13/2024,Grilled Chicken Fajita Rice Bowl,Bosco Cheese Sticks
9/16/2024,Coconut Chicken Curry,Cheese Pizza
9/17/2024,Beef Stroganoff,Chicken Tenders with Roll
9/18/2024,Chicken Chili Verde w/ Rice,Cheese Pizza
9/19/2024,Mediterranean Chicken Thigh w/ Pita,Spicy Chicken Sandwich
9/20/2024,Grilled Chicken Fajita Rice Bowl,Bosco Cheese Sticks
9/23/2024,Coconut Chicken Curry,Cheese Pizza
9/24/2024,Beef Stroganoff,Chicken Tenders with Roll
9/25/2024,Chicken Chili Verde w/ Rice,Cheese Pizza
9/26/2024,Mediterranean Chicken Thigh w/ Pita,Spicy Chicken Sandwich
9/27/2024,Grilled Chicken Fajita Rice Bowl,Bosco Cheese Sticks



